,,,,,,,,,,"Note: Not ordered according to loss, but rather by clustering similar tests together. "
,,,,,,,,,,This is always trained on the difference network T+8 - T+0
Loss,Solver-type,Perceptron,iters,Nn-size (Bottom layer),Layers,Train Lag,Test Lag,input,Input Size,Notes
0.170876,Adam,tanh,10000,"8, 16","Single, double, triple",8,6,A0:A-4 dengue,4,"losses around the same, Adam best. Layers of NN don’t seem to matter."
0.168,Adam,tanh,10000,"8,32,64",single,8,7,A0:A-3 dengue,3,
0.166225,Adam,tanh,10000,"16, 32",double,8,7,A0:A-3 dengue,3,
0.1651,Adam,tanh,10000,"8,16,32",triple,8,7,A0:A-3 dengue,3,
0.164895,Adam,tanh,10000,"16,32,128","triple, double",8,8,A0:A-2 dengue,2,"The losses might seem lower for a smaller window, but the lag increases as window is smaller."
0.17,Adam,tanh,10000,"8,16","triple,double",8,6,A0:A-5 dengue,5,The most number of window tried. Smaller Nn-size works better
0.156,Adam,Relu,10000,16,"Triple, quad, double,single",5,6,A0:A-5 dengue,5,Train lag smaller and loss smaller than tanh. Layers don’t seem to matter too much
0.157,Adam,Relu,10000,"16,8","Triple, quad",5,6,A0:A-4 dengue,4,
0.157,Adam,Relu,10000,"16, 32","triple,quad",3,7,A0:A-3 dengue,3,Training and test lag went back up here.
0.159,Adam,Relu,10000,16,quad,4,4,"A0:A-5 dengue, population",6,"Doesn’t seem to decrease loss much but low lag!! Tried again and it looks like a fluke, later lags around 6"
0.156,Adam,Relu,10000,"16, 32","quint,triple",8,6,"A0:A-4 dengue, population",5,
0.155,Adam,Relu,10000,"16,32,128","quad,quint,triple",8,7,"A0:-3 dengue, population",4,"Another try had train lag = 3, test lag = 6., slightly higher loss."
0.14,Adam,Relu,10000,"16, 128, 64","quad, single, double, triple",5,5,"A0:-3 dengue, population, average over rainfall, average over temperature",6,"Huge imporvement, it seems the train lag is a bit unstable. Definitely not a fluke."
0.157,"Adam,SGD",Relu,10000,"8, 128","triple, single",5,8,"A0:-3 dengue, population, average over temperature",5,"Same as above, but only temperature, no rainfall. It seems temperature data is less important."
0.15,Adam,Relu,10000,"16,128,32","double,single",8,6,"A0:-3 dengue, population, average over rainfall",5,
0.143,Adam,Relu,10000,"16,32","quad,triple,single",6,4,"A0:-2 dengue, population, average over rainfall, average over temperature",5,
0.142,Adam,Relu,10000,"128,8","single,triple,double",8,6,"A0:-4 dengue, population, average over rainfall, average over temperature",7,
0.142,Adam,Relu,10000,"16, 128, 64","quad,triple,single",3,5,"A0:-3 dengue, population, average over temperature. Training: Mean from T+7 to T+8",6,"Denoising the training label, t+7 to t+8"
0.144,Adam,Relu,10000,"16, 8","quad, triple, double",3,4,"A0:-3 dengue, population, average over temperature. Training: Mean from T+6 to T+8",6,"Denoising the training label, t+6 to t+8"
0.15,Adam,Relu,10000,"16,8","single,triple",8,6,"A0:-3 dengue, population, average over temperature. Training: Mean from T+5 to T+8",6,"Denoising the training label, t+ 5 to t+8"
,,,,,,,,,,"Any data below this includes T0 as an input, since I figured out how to include it."
