Week,dengue-incidence,_interpolatedadmiralty,_interpolatedang-mo-kio,_interpolatedboon-lay-east,_interpolatedchangi,_interpolatedchoa-chu-kang-south,_interpolatedclementi,_interpolatedeast-coast-parkway,_interpolatedjurong-island,_interpolatedkhatib,_interpolatedmarina-barrage,_interpolatednewton,_interpolatedpasir-panjang,_interpolatedpulau-ubin,_interpolatedseletar,_interpolatedsemakau-island,_interpolatedsembawang,_interpolatedsentosa-island,_interpolatedtai-seng,_interpolatedtengah,_interpolatedtuas-south,_zeroed_admiralty,_zeroed_ang-mo-kio,_zeroed_boon-lay-east,_zeroed_changi,_zeroed_choa-chu-kang-south,_zeroed_clementi,_zeroed_east-coast-parkway,_zeroed_jurong-island,_zeroed_khatib,_zeroed_marina-barrage,_zeroed_newton,_zeroed_pasir-panjang,_zeroed_pulau-ubin,_zeroed_seletar,_zeroed_semakau-island,_zeroed_sembawang,_zeroed_sentosa-island,_zeroed_tai-seng,_zeroed_tengah,_zeroed_tuas-south,admiralty,ang-mo-kio,boon-lay-east,changi,choa-chu-kang-south,clementi,east-coast-parkway,jurong-island,khatib,marina-barrage,newton,pasir-panjang,pulau-ubin,seletar,semakau-island,sembawang,sentosa-island,tai-seng,tengah,tuas-south,total-population
1,-0.9166676637387192,-1.6202213859262027,-1.500997988381031,-1.0800824870917092,-1.1523472875967167,-1.0397858793987733,-1.0394039498212113,-1.299426681991145,-1.0437583817282028,-1.6321814894383677,-1.3204605888934098,-1.0078243133161624,-0.8721881202837837,-0.9482809722372263,-1.7719454754424673,0.5909346391203585,-1.471292143006934,-1.2979653468996566,-1.3128624938406834,-1.0553534523282848,-1.3629765053434861,0.3988109220778528,0.7187438253895582,0.19848885192594895,0.8001729671274149,0.4282660873692422,0.46335112188844196,-0.49920040950791633,0.44570912138649477,-0.5281242773473962,0.5791191865760771,0.49579948120363704,-0.5500335606434879,-0.5006337731266595,0.5676972426029558,-0.5008786957358081,0.7945005191220721,0.09203495847301049,0.9264902724038345,0.28181621728216405,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
2,-0.9660266917861887,-1.6202213859262027,-1.500997988381031,-1.571029072133396,-1.4980514738757325,-1.5019129369093365,-1.5013612608528581,-1.6538157770796396,-1.5656375725923044,-1.6321814894383677,-1.6505757361167632,-1.3437657510882164,-0.9967864231814668,-1.3038863368261866,-1.7719454754424673,0.5909346391203585,-1.471292143006934,-1.6519558960541088,-1.6410781173008553,-1.524399431140853,-1.5726651984732525,0.2706216971242572,0.02764399328421368,-0.12214698580058386,-0.694489745053983,-0.04588565221813305,0.22420215575247196,-0.49920040950791633,-0.2612777608127728,-0.5281242773473962,0.5947710564835387,-0.07746866893806828,-0.5500335606434879,-0.5006337731266595,1.7584768246481806,-0.5008786957358081,-0.09426277345516113,0.38347899363754395,-0.6986647955832195,-0.43681513678735456,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
3,-0.9307702431808533,-1.6202213859262027,-1.500997988381031,-1.7674077061500701,-1.3828167451160591,-1.732976465664618,-1.7323399163686815,-1.5356860787168067,-1.7743892489379443,-1.6321814894383677,-1.5405373537089775,-1.2317852718308637,-1.1213847260791499,-1.1853512152965318,-1.7719454754424673,0.5909346391203585,-1.471292143006934,-1.5339590463359567,-1.5316729094807966,-1.7589224205471372,-1.7823538916030188,2.036784352040462,2.0041895131054988,0.45805119675218964,0.07548801576673726,0.6576943484599076,0.702500088024412,-0.49920040950791633,1.5215587247332059,-0.5281242773473962,0.37564487777907696,0.5577744163540918,-0.5500335606434879,-0.5006337731266595,1.8415544699071495,-0.5008786957358081,1.5351365962697663,-0.29144403516453343,0.5619695094908503,0.2677254064180559,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
4,-0.9307702431808533,-1.6202213859262027,-1.500997988381031,-1.865597023158409,-1.728520931395075,-1.8485082300422608,-1.847829244126595,-1.8900751738053012,-1.878765087110766,-1.6321814894383677,-1.870652500932331,-1.5677267096029177,-1.1836838775279925,-1.5409565798854923,-1.7719454754424673,0.5909346391203585,-1.471292143006934,-1.8879495954904089,-1.8598885329409685,-1.8761839152502815,-1.8871982381679038,-0.7121623608533083,1.7830375668317888,-0.6260033022279924,1.902297997321779,-0.7647608703022181,0.014946810383498077,-0.49920040950791633,-0.6455097620080269,-0.5281242773473962,0.3286892680566925,0.2014185392389775,-0.5500335606434879,-0.5006337731266595,0.2492329357769073,-0.5008786957358081,-0.7675682981348831,0.09203495847301049,1.9137340052931666,-0.7749945975259516,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
5,-0.9448728226229874,-2.0831417819051166,-1.847382139545885,-2.061975657175083,-2.0742251176740907,-2.0795717587975426,-2.0788078996424186,-2.2444642688937955,-2.0875167634564056,-2.008838756231838,-2.200767648155684,-1.903668147374972,-1.3082821804256757,-1.8965619444744526,-2.1263345705309615,0.5909346391203585,-1.9617228573425771,-2.241940144644861,-2.1881041564011405,-2.1107069046565656,-2.09688693129767,-0.5270001470314483,-0.49759187911584807,-0.7328819148035034,-0.4680256977537711,-0.5812182614296857,-0.23914896613597003,-0.49920040950791633,-0.753094722342698,-0.5281242773473962,-0.5165117069462309,-0.48030574741602344,-0.5500335606434879,-0.5006337731266595,-0.3600031294555331,-0.5008786957358081,-0.3770510938206444,-0.6135663898200703,-0.5315927792481018,-0.6199956780207613,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
6,-0.9025650842965851,-1.2730310889420153,-1.2700752209377963,-1.2764611211083832,-1.2675820163563858,-1.155317643776412,-1.154893277579121,-1.4175563803539737,-1.2525100580738426,-1.381076644909389,-1.4304989713011917,-1.119804792573511,-0.8098889688349411,-1.066816093766877,-1.5356860787168058,0.5909346391203585,-1.1034691072551994,-1.4159621966178044,-1.4222677016607381,-1.1726149470314249,-1.2581321587786012,0.427297416511985,1.2025137078632995,-0.48858794320233545,0.0150976031533474,-0.1682473914664879,0.5380851738059327,-0.49920040950791633,-0.8299411225817489,-0.5281242773473962,-0.5634673166686156,-0.5112932149912507,-0.5500335606434879,-0.5006337731266595,1.5507827115007577,-0.5008786957358081,1.3196788283722556,-0.8743321054936002,-0.34933239779160974,-0.29590702814627245,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
7,-1.001283140391524,-0.6943805939683708,-0.6927683023297079,-0.687325219058361,-0.5761736437983583,-0.46212705751056726,-0.46195731103165083,-0.708778190176989,-0.6262550290369232,-0.7533145335869402,-0.7702686768544887,-0.4479219170294068,-0.43609406014189184,-0.3556053645889604,-0.94503758690265,0.5909346391203585,-0.49043071433564317,-0.7079810983089043,-0.7658364547403983,-0.46904597881257243,-0.6290660793893025,-0.49851365259731584,-0.1935079529894965,-0.1374153590256568,0.0,-0.06118086962417749,-0.8818618126263897,-0.49920040950791633,-0.39960128124306415,-0.5281242773473962,-0.6730304060208465,-0.8366616245311376,-0.5500335606434879,-0.5006337731266595,1.8692470183268057,-0.5008786957358081,0.4847799777694,-0.9050104249846037,-0.318955667548861,-0.19727135209751498,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
8,-0.9237189534597863,-1.9674116829103903,-2.0783049069891195,-1.7674077061500701,-2.0742251176740907,-1.732976465664618,-1.7323399163686815,-2.2444642688937955,-1.7743892489379443,-2.2599436007608165,-2.200767648155684,-1.903668147374972,-1.1836838775279925,-1.8965619444744526,-2.362593967256623,0.5909346391203585,-1.8391151787586684,-2.241940144644861,-2.1881041564011405,-1.7589224205471372,-1.7823538916030188,1.3531084856212858,0.9675397649474823,0.7176135415784306,1.358784283801271,0.0,0.9715426749273784,-0.49920040950791633,0.7223561622470775,-0.5281242773473962,2.12865430741477,1.456410976035684,-0.5500335606434879,-0.5006337731266595,2.3123277930413084,-0.5008786957358081,0.9426277345516111,0.6902621885475791,0.30376730242748673,-0.2818162172821642,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
9,-0.9378215329019204,-0.11573009899472642,-0.34638415116485394,-0.2945679510250094,-0.460938915038685,0.0,0.0,-0.590648491814156,-0.20875167634563985,-0.3766572667934701,-0.660230294446703,-0.3359414377720541,-0.1868974543465235,-0.23707024305930552,-0.5906484918141558,0.5909346391203585,0.12260767858391297,-0.5899842485907523,-0.6564312469203397,0.0,-0.20968869312976626,-0.9258110691093009,-0.9122517783790548,-0.44278282352711656,-0.015097603153347534,-0.7341704354901293,-0.9864894853108765,-0.49920040950791633,-0.860679682677369,-0.5281242773473962,-0.6260747962984617,-0.46481201362840974,-0.5500335606434879,-0.5006337731266595,-0.3046180326162203,-0.5008786957358081,-1.0099582870195831,-0.8129754665115932,-0.4252742233984814,-0.6059048671566531,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
10,-0.9589754020651217,1.1573009899472888,0.8082296860513231,0.8837038530750385,0.3457041862790158,1.3863811725316937,1.3858719330949443,0.2362593967256616,1.0437583817282028,0.8788669558514274,0.11003838240778578,0.4479219170294028,0.5606923630395771,0.5926756076482659,0.5906484918141558,0.5909346391203585,1.471292143006934,0.23599369943630005,0.10940520782005857,1.407137936437709,1.048443465648835,-1.0682435412799625,-1.0228277515159099,-1.160396365105547,-0.9511489986608896,-1.147141305453327,-1.1210107787623598,-0.49920040950791633,-1.0758496033467113,-0.5281242773473962,-1.0486752837999234,-1.1000550989205697,-0.5500335606434879,-0.5006337731266595,-1.0246242915272863,-0.5008786957358081,-1.0503566185003665,-0.9663670639666109,-1.0024320980107062,-1.0849924365363321,-0.5580898946661647,0.031621666666666666,0.06567666666666666,0.049008333333333334,0.019631666666666665,0.022838333333333332,0.06319666666666666,0.08979333333333334,0.0,0.0,0.027566666666666666,0.03991,0.016298333333333335,0.0,0.010333333333333333,0.0,0.03499833333333333,0.0,0.07423,0.00011166666666666667,0.0,0.6713145
