Week,dengue-incidence,_interpolatedadmiralty,_interpolatedang-mo-kio,_interpolatedboon-lay-east,_interpolatedchangi,_interpolatedchoa-chu-kang-south,_interpolatedclementi,_interpolatedeast-coast-parkway,_interpolatedkhatib,_interpolatedmarina-barrage,_interpolatednewton,_interpolatedpasir-panjang,_interpolatedseletar,_interpolatedsembawang,_interpolatedtai-seng,_interpolatedtengah,_interpolatedtuas-south,_zeroed_admiralty,_zeroed_ang-mo-kio,_zeroed_boon-lay-east,_zeroed_changi,_zeroed_choa-chu-kang-south,_zeroed_clementi,_zeroed_east-coast-parkway,_zeroed_khatib,_zeroed_marina-barrage,_zeroed_newton,_zeroed_pasir-panjang,_zeroed_seletar,_zeroed_sembawang,_zeroed_tai-seng,_zeroed_tengah,_zeroed_tuas-south,admiralty,ang-mo-kio,boon-lay-east,changi,choa-chu-kang-south,clementi,east-coast-parkway,marina-barrage,newton,pasir-panjang,seletar,sembawang,tai-seng,tengah,total-population
522,-0.9178057009553399,-0.9661273219014382,-1.0997542723078892,-1.021852621760331,-0.8988951071168022,-1.111015331450127,-1.1551738909592604,-0.9465992069838718,-0.3653525362774365,-1.3035547781589956,-1.1937257159432026,-1.9538193125782433,-0.8508605053682724,-0.9299460077137651,-1.2342261644154213,-1.1947281297496053,-1.5431019192418198,-0.5584957787627325,-0.06897960886981896,-0.05124591439167754,-0.17333819305036355,-0.2078033797101778,-0.5906444043748198,0.3208860417463687,-0.8333640305149564,-0.22937534158102424,-0.4721486408248586,-0.39043124946995256,-0.6818109042506327,-0.7922600101742437,0.3670628429573122,-0.2791317753714159,0.5418450939121393,0.04070761666666667,0.06595809999999999,0.058885716666666664,0.022389516666666668,0.028723566666666665,0.07226428333333333,0.09240881666666667,0.02774285,0.042052149999999996,0.01644095,0.0366131,0.0427831,0.07689048333333334,0.00016928333333333335,0.833385
523,-0.7751416023612456,-0.8587798416901661,-0.8997989500700916,-0.6812350811735526,-0.6741713303376017,-0.5555076657250635,-0.5775869454796302,-0.9465992069838718,-0.3653525362774365,-1.3035547781589956,-0.8681641570496017,-1.4110917257509537,-0.8508605053682724,-1.046189258677988,-1.0285218036795185,-0.5973640648748026,-1.02873461282788,-0.24434190320869542,-0.15520411995709257,-0.39288534366952804,-0.6355733745179994,-0.08658474154590741,-0.20846273095581866,-0.705949291842011,-0.5503347371325183,-0.3058337887746989,-0.5992655825853973,-0.5941345100629712,-0.3325906850003087,-0.29342963339786804,-0.660713117323162,0.19190309556784846,-0.8850136533898275,0.04101333333333333,0.06600666666666667,0.05935,0.022676666666666668,0.028945,0.0727,0.09284166666666667,0.02843,0.042365,0.016416666666666666,0.03784166666666667,0.043331666666666664,0.07725333333333333,0.000175,0.846122
524,-0.8464736516582927,-0.7514323614788977,-0.7998212889511944,-0.5676959009779625,-0.5618094419480034,-0.8888122651601025,-0.9241391127674091,-0.5916245043649194,0.0,-0.9776660836192457,-0.8681641570496017,-1.7367282778473283,-0.5317878158551698,-0.6974595057853239,-0.9256696233115688,-0.9557825037996851,-1.3373549966762446,-1.2217095160434774,-1.120918644134557,-0.22206562903060278,-0.9244703629352718,-0.9524321570049814,-0.9033385008085479,-0.9626581252391061,-1.132117173529752,-0.8983867545256782,-0.9261377185410685,-0.8996894009524994,-1.1308083290010496,-1.1003611252420051,-1.0094228181326084,-1.0118526857213825,-0.5237835907817346,0.04101333333333333,0.06600666666666667,0.05935,0.022676666666666668,0.028945,0.0727,0.09284166666666667,0.02843,0.042365,0.016416666666666666,0.03784166666666667,0.043331666666666664,0.07725333333333333,0.000175,0.846122
525,-0.8761953388653957,-0.6440848812676255,-0.9997766111889922,-0.5676959009779625,-1.0112569955064046,-0.6666091988700779,-0.6931043345755579,-1.1832490087298388,-0.3653525362774365,-1.5208139078521608,-1.085205196312001,-1.5196372431164131,-0.8508605053682724,-0.6974595057853239,-1.3370783447833747,-0.7168368778497648,-1.1316080741106693,-0.1047179585180123,-0.15520411995709257,-0.4612132295250982,-0.1540783938225453,-0.05195084492754441,-0.8859666065622298,-0.14974681948163868,-0.8648117297796717,-0.3631776241699551,-0.38135082528161657,-0.2037032605930186,0.7150699727506636,-0.7042311201548833,-0.16517827933079055,0.48848060689997763,-0.758583131476995,0.04101333333333333,0.06600666666666667,0.05935,0.022676666666666668,0.028945,0.0727,0.09284166666666667,0.02843,0.042365,0.016416666666666666,0.03784166666666667,0.043331666666666664,0.07725333333333333,0.000175,0.846122
526,-0.5433124421458424,-0.21469496042254438,-0.39991064447559543,0.11353918019559411,-0.11236188838959828,0.0,0.0,-0.23664980174596692,0.24356835751828956,-0.6517773890794958,-0.3255615588936011,-0.8683641389236642,-0.31907268951310264,0.23248650192844542,-0.5142609018397593,0.0,-0.51436730641394,-1.0297265920937881,-1.120918644134557,-1.1615740595446917,-1.059288957529999,-1.0736507951692518,-1.1465450202570033,-0.8343037085405585,-1.1006694742650367,-1.146876707905121,-1.1985311651707946,-0.9506152161007541,-1.0809197262510033,-0.9683177902129646,-1.1011885288719365,-1.2386472532106578,-0.8308291439986136,0.04101333333333333,0.06600666666666667,0.05935,0.022676666666666668,0.028945,0.0727,0.09284166666666667,0.02843,0.042365,0.016416666666666666,0.03784166666666667,0.043331666666666664,0.07725333333333333,0.000175,0.846122
527,-0.7454199151541426,0.0,-0.09997766111889708,0.4541567207823724,0.4494475535584051,0.0,0.0,0.11832490087298556,0.7307050725548687,-0.325888694539746,0.0,-0.8683641389236642,0.10635756317103169,0.348729752892664,0.0,0.0,-0.51436730641394,-0.19198292394968927,-0.9657145241774645,-0.44413125806120557,-1.0978085559856354,-0.34633896618362964,-0.7817352410843205,-0.9840505280221973,-0.801916331250241,-0.6498968011462353,-1.0532546603016073,-1.0015410312490087,-0.848106246750787,-0.4108014867570153,-0.5873005487316995,-0.6629379665071126,-0.7947061377378043,0.04101333333333333,0.06600666666666667,0.05935,0.022676666666666668,0.028945,0.0727,0.09284166666666667,0.02843,0.042365,0.016416666666666666,0.03784166666666667,0.043331666666666664,0.07725333333333333,0.000175,0.846122
528,-0.6621991909742543,0.5367374010563533,0.4998883055944961,0.5676959009779625,1.0112569955064086,0.5555076657250635,0.5775869454796302,0.709949405237905,1.096057608832305,0.21725912969316913,0.4340820785247989,-0.32563655209637454,0.4254302526841343,1.046189258677992,0.5142609018397593,0.5973640648748026,0.0,-1.2391625091298129,-1.2071431552218308,-1.0761642022252291,-1.0785487567578174,-1.1602355367151593,-1.198660702995958,-0.9626581252391061,-1.132117173529752,-1.146876707905121,-1.1985311651707946,-0.8317883140881597,-1.1308083290010496,-1.1150326069118985,-1.174601097463399,-1.0467441576428094,-0.01806150313040474,0.04101333333333333,0.06600666666666667,0.05935,0.022676666666666668,0.028945,0.0727,0.09284166666666667,0.02843,0.042365,0.016416666666666666,0.03784166666666667,0.043331666666666664,0.07725333333333333,0.000175,0.846122
529,-1.0129151000180694,0.5367374010563533,0.5998659667133968,0.4541567207823724,1.235980772285609,0.6666091988700779,0.6931043345755579,0.8282743061108863,1.5831943238688844,0.32588869453974983,0.5426025981560005,-0.21709103473091507,0.8508605053682686,1.1624325096422106,0.7199652625756622,0.7168368778497648,0.10287346128278946,-1.0820855713527942,-1.189898253004376,-0.7516067444112712,-1.0015095598465447,-0.7446287772948038,-1.1812888087496398,-0.9840505280221973,-1.1006694742650367,-1.0513036489130276,-1.125892912736201,-1.0354915746811786,-1.1308083290010496,-1.1003611252420051,-1.1378948131676678,-0.7152751743892529,0.27092254695606965,0.04101333333333333,0.06600666666666667,0.05935,0.022676666666666668,0.028945,0.0727,0.09284166666666667,0.02843,0.042365,0.016416666666666666,0.03784166666666667,0.043331666666666664,0.07725333333333333,0.000175,0.846122
530,-0.769197264919825,0.7514323614788938,0.4998883055944961,0.7947742613691466,1.4607045490648096,0.9999137983051127,1.0396565018633326,0.5916245043649194,1.5831943238688844,0.10862956484658456,0.4340820785247989,0.1085455173654556,0.8508605053682686,1.394919011570656,0.9256696233115651,1.075255316774643,0.4114938451311505,0.017452993086335487,-0.3448980443490945,-0.8199346302668411,-1.059288957529999,-0.8138965705315296,-0.6427600871137745,-0.9840505280221973,-0.8490878801473141,-1.089532872509865,-0.3087125728470229,-0.9336399443846691,-0.9645129865008952,-0.7922600101742437,-1.0644822445762054,-0.6803837024678261,-1.0836901878242786,0.04101333333333333,0.06600666666666667,0.05935,0.022676666666666668,0.028945,0.0727,0.09284166666666667,0.02843,0.042365,0.016416666666666666,0.03784166666666667,0.043331666666666664,0.07725333333333333,0.000175,0.846122
531,-0.8108076270097692,1.288169762535247,1.0997542723078928,1.4760093425427032,1.6854283258440101,1.6665229971751907,1.7327608364388905,0.709949405237905,2.0703310389054677,0.21725912969316913,0.8681641570495978,0.6512731041927452,1.2762907580524068,1.8598920154275385,1.1313739840474681,1.792092194624408,1.02873461282788,-0.5759487718490679,-1.1381635463520117,-0.7857706873390561,-1.0785487567578174,-0.536825397584626,-0.7296195583453656,-0.9840505280221973,-1.132117173529752,-1.146876707905121,-1.216690728279443,-1.0864173898294331,-1.1308083290010496,-1.1150326069118985,-1.1195416710198023,-0.4535891349785508,-1.0475671815634693,0.04101333333333333,0.06600666666666667,0.05935,0.022676666666666668,0.028945,0.0727,0.09284166666666667,0.02843,0.042365,0.016416666666666666,0.03784166666666667,0.043331666666666664,0.07725333333333333,0.000175,0.846122
