loss,lag
0.21181888797250734,1
0.22104189570258265,2
0.2216974022437115,2
0.22282384528594762,5
0.22643531646047318,1
0.2282563239133277,1
0.2308225090406379,3
0.23138435864124168,3
0.23197275896867117,2
0.23252192220720305,1
0.23323559456942033,3
0.23372953582783135,1
0.23409184468846742,1
0.23415736965581674,3
0.23512359612247571,2
0.23512368907733838,4
0.23519434490982366,2
0.2353971270071406,2
0.23580826220869208,2
0.23595397630516363,1
0.23600511921911824,2
0.23672434302414355,2
0.23783462347627496,2
0.2382076040011685,2
0.23882262540512345,2
0.23889376071034646,2
0.23911857949633178,2
0.23946160584890924,2
0.23975156034742082,2
0.23987324363520357,2
0.24003690785291243,4
0.24095036545578313,2
0.24106248686102782,2
0.24114846250637859,1
0.2414601589141249,4
0.24182382732832514,5
0.24233671394335168,5
0.24284688854704098,1
0.24290356475885222,4
0.24315638890882738,3
0.24326616079628874,1
0.2433465946288336,2
0.24418357075477132,2
0.24429707077084756,2
0.24449334481135518,5
0.2445973829955471,1
0.24467275823865617,3
0.24500583821818941,2
0.24509876763739555,2
0.24627896656795423,4
0.246463866460891,2
0.2466813029886103,4
0.24705240150698188,2
0.2477684201431923,5
0.24785651601090722,5
0.24789320976555754,1
0.2479097796540682,4
0.24836613491278928,1
0.2486000391496282,5
0.2490119784056735,5
0.24910758739831496,5
0.24986844991340118,2
0.25015328206172605,1
0.25078978120875195,1
0.251201042715384,3
0.2513047959528813,2
0.25131032651378993,3
0.25169900728731737,2
0.25218867627130886,3
0.25273460616059856,5
0.25297140912944766,5
0.2529981239717834,5
0.25308070803175164,5
0.2535760141148859,6
0.2538029802899782,2
0.2538076825693351,5
0.2545281900029604,3
0.25475492708537045,5
0.25495126985368277,1
0.2553344867667373,4
0.2555605144727798,2
0.2555605359628898,5
0.2560471886274766,2
0.25622430727595374,3
0.25629331039733627,2
0.25632567034692183,3
0.25660112824569753,6
0.25664590876929616,1
0.2567020514789893,5
0.2567608060479975,5
0.25696107887086417,2
0.2571105754294363,6
0.2572218347974375,2
0.2575650963248039,5
0.2580726882632898,4
0.258311468119524,3
0.2583737835592153,2
0.2586795857974461,5
0.2591728125096989,2
0.2592735349321041,6
